Name;Image;Buy;Sell
Alchemy Orb;Images/Orbs/Alchemy.png;https://www.pathofexile.com/trade/exchange/Hardcore/rPe7CQ;https://www.pathofexile.com/trade/exchange/Hardcore/yYYOiR
Ancient Orb;Images/Orbs/Ancient.png;https://www.pathofexile.com/trade/exchange/Hardcore/Bg2WU8;https://www.pathofexile.com/trade/exchange/Hardcore/Bgbjh8
Armourer's Scrap;Images/Orbs/Scrap.png;https://www.pathofexile.com/trade/exchange/Hardcore/z942f4;https://www.pathofexile.com/trade/exchange/Hardcore/v0eDfE
Awakened Sextant;Images/Orbs/Awakened_Sextant.png;https://www.pathofexile.com/trade/exchange/Hardcore/eRbbiL;https://www.pathofexile.com/trade/exchange/Hardcore/eRqWiL
Awakener's Orb;Images/Orbs/WokeOrb.png;https://www.pathofexile.com/trade/exchange/Hardcore/kk4Z84wC5;https://www.pathofexile.com/trade/exchange/Hardcore/oV49mKYcl
Blacksmith's Whetstone;Images/Orbs/Whetstone.png;https://www.pathofexile.com/trade/exchange/Hardcore/VLywup;https://www.pathofexile.com/trade/exchange/Hardcore/KBWPi5
Blessed Orb;Images/Orbs/Blessed.png;https://www.pathofexile.com/trade/exchange/Hardcore/5n8nta;https://www.pathofexile.com/trade/exchange/Hardcore/Q2Q7Cw
Cartographer's Chisel;Images/Orbs/Chisel.png;https://www.pathofexile.com/trade/exchange/Hardcore/4my8I9;https://www.pathofexile.com/trade/exchange/Hardcore/zbVRF4
Chromatic Orb;Images/Orbs/Chromatic.png;https://www.pathofexile.com/trade/exchange/Hardcore/AePWsL;https://www.pathofexile.com/trade/exchange/Hardcore/AMKqTJ
Crusader's Exalted;Images/Orbs/Crusader's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Hardcore/DVbagY5H5;https://www.pathofexile.com/trade/exchange/Hardcore/Pr8LXMDiL
Divine Orb;Images/Orbs/Divine.png;https://www.pathofexile.com/trade/exchange/Hardcore/NpeJc0;https://www.pathofexile.com/trade/exchange/Hardcore/9z28fK
Engineer's Orb;Images/Orbs/Engineers.png;https://www.pathofexile.com/trade/exchange/Hardcore/xdQRUJ;https://www.pathofexile.com/trade/exchange/Hardcore/BglwU8
Exalted Orb;Images/Orbs/Exalted.png;https://www.pathofexile.com/trade/exchange/Hardcore/glRewPiQ;https://www.pathofexile.com/trade/exchange/Hardcore/V59BW2Ip
Gemcutter's Prism;Images/Orbs/GCP.png;https://www.pathofexile.com/trade/exchange/Hardcore/18jvcV;https://www.pathofexile.com/trade/exchange/Hardcore/ADa4f5
Glassblower's Bauble;Images/Orbs/Bauble.png;https://www.pathofexile.com/trade/exchange/Hardcore/3q5Jc5;https://www.pathofexile.com/trade/exchange/Hardcore/v089CE
Harbinger's Orb;Images/Orbs/Harbinger.png;https://www.pathofexile.com/trade/exchange/Hardcore/7nLlt5;https://www.pathofexile.com/trade/exchange/Hardcore/AL87fn
Hunter's Exalted;Images/Orbs/Hunter's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Hardcore/9dXlgBQuK;https://www.pathofexile.com/trade/exchange/Hardcore/j94oKzoIX
