Name;Image;Buy;Sell
Aberrant Fossil;Images/Orbs/Aberrant_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/XMWqJBHP;https://www.pathofexile.com/trade/exchange/Hardcore/m3lPXZT6
Aetheric Fossil;Images/Orbs/Aetheric_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/WOR0q0tm;https://www.pathofexile.com/trade/exchange/Hardcore/LJr3WXSn
Bloodstained Fossil;Images/Orbs/Bloodstained_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/pPPoXwt0;https://www.pathofexile.com/trade/exchange/Hardcore/2L6zboIk
Bound Fossil;Images/Orbs/Bound_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/ZDVPVRCQ;https://www.pathofexile.com/trade/exchange/Hardcore/5M6omKHa
Corroded Fossil;Images/Orbs/Corroded_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/n3aQmyC0;https://www.pathofexile.com/trade/exchange/Hardcore/GnYMJZFb
Dense Fossil;Images/Orbs/Dense_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/2LV840Uk;https://www.pathofexile.com/trade/exchange/Hardcore/grdMRgcQ
Enchanted Fossil;Images/Orbs/Enchanted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/L5a52lIn;https://www.pathofexile.com/trade/exchange/Hardcore/2LVa60ck
Encrusted Fossil;Images/Orbs/Encrusted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/9JPyP4SK;https://www.pathofexile.com/trade/exchange/Hardcore/O68ljKHE
Faceted Fossil;Images/Orbs/Faceted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/vdr5rBCE;https://www.pathofexile.com/trade/exchange/Hardcore/E9l5PVT5
Fractured Fossil;Images/Orbs/Fractured_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/rRRlY4SQ;https://www.pathofexile.com/trade/exchange/Hardcore/3v4eVPF5
Frigid Fossil;Images/Orbs/Frigid_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/E9lKl0F5;https://www.pathofexile.com/trade/exchange/Hardcore/E9l7W4u5
Gilded Fossil;Images/Orbs/Gilded_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/2LVy6eik;https://www.pathofexile.com/trade/exchange/Hardcore/k3or6ns5
Glyphic Fossil;Images/Orbs/Glyphic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/EronryT5;https://www.pathofexile.com/trade/exchange/Hardcore/vdm9GBuE
Hollow Fossil;Images/Orbs/Hollow_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/k9WmJ3H5;https://www.pathofexile.com/trade/exchange/Hardcore/wB2RGrIb
Jagged Fossil;Images/Orbs/Jagged_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/3vJmKKI5;https://www.pathofexile.com/trade/exchange/Hardcore/LJrLL7Cn
Lucent Fossil;Images/Orbs/Lucent_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/DdJ58dT5;https://www.pathofexile.com/trade/exchange/Hardcore/o2Y82qil
Metallic Fossil;Images/Orbs/Metallic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/2LVra0Uk;https://www.pathofexile.com/trade/exchange/Hardcore/0pW8vbUg
Perfect Fossil;Images/Orbs/Perfect_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/O68EQOCE;https://www.pathofexile.com/trade/exchange/Hardcore/5M6ejesa
Prismatic Fossil;Images/Orbs/Prismatic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/rl3OOrSQ;https://www.pathofexile.com/trade/exchange/Hardcore/6MPBVdTG
Pristine Fossil;Images/Orbs/Pristine_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/wB2wP9ib;https://www.pathofexile.com/trade/exchange/Hardcore/3vJrdgF5
Sanctified Fossil;Images/Orbs/Sanctified_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/ZDQoZEuQ;https://www.pathofexile.com/trade/exchange/Hardcore/BlnrowS8
Scorched Fossil;Images/Orbs/Scorched_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/RWLyOaF7;https://www.pathofexile.com/trade/exchange/Hardcore/6M4p92TG
Serrated Fossil;Images/Orbs/Serrated_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/LJpLD2Sn;https://www.pathofexile.com/trade/exchange/Hardcore/VnDmjrSp
Shuddering Fossil;Images/Orbs/Shuddering_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/d22rBPcJ;https://www.pathofexile.com/trade/exchange/Hardcore/lVml30hV
Tangled Fossil;Images/Orbs/Tangled_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore/oRKYOZcl;https://www.pathofexile.com/trade/exchange/Hardcore/JgmnDbil
