Name;Image;Buy;Sell
Fragment of Purification;Images/Orbs/AtlasMapGuardianChaos.png;https://www.pathofexile.com/trade/exchange/Hardcore/9zqXd0QtK;https://www.pathofexile.com/trade/exchange/Hardcore/pJlWGXJS0
Fragment of Enslavement;Images/Orbs/AtlasMapGuardianFire.png;https://www.pathofexile.com/trade/exchange/Hardcore/mkP4ZKZh6;https://www.pathofexile.com/trade/exchange/Hardcore/aLbe3P7te
Fragment of Constriction;Images/Orbs/AtlasMapGuardianHoly.png;https://www.pathofexile.com/trade/exchange/Hardcore/kyPDldKH5;https://www.pathofexile.com/trade/exchange/Hardcore/lgP7bvQhV
Fragment of Eradication;Images/Orbs/AtlasMapGuardianLightning.png;https://www.pathofexile.com/trade/exchange/Hardcore/4mqy3nMT9;https://www.pathofexile.com/trade/exchange/Hardcore/PPKQwYkIL
Sacrifice of Dusk;Images/Orbs/Atziri1.png;https://www.pathofexile.com/trade/exchange/Hardcore/eXq9UL;https://www.pathofexile.com/trade/exchange/Hardcore/Y9vrcY
Sacrifice of Midnight;Images/Orbs/Atziri2.png;https://www.pathofexile.com/trade/exchange/Hardcore/LBqlTn;https://www.pathofexile.com/trade/exchange/Hardcore/eReohL
Sacrifice of Dawn;Images/Orbs/Atziri3.png;https://www.pathofexile.com/trade/exchange/Hardcore/KRBnh5;https://www.pathofexile.com/trade/exchange/Hardcore/68vjsG
Sacrifice of Noon;Images/Orbs/Atziri4.png;https://www.pathofexile.com/trade/exchange/Hardcore/gg7dcQ;https://www.pathofexile.com/trade/exchange/Hardcore/YpzOcY
Chayula's Breachstone;Images/Orbs/BreachFragmentsChaos.png;https://www.pathofexile.com/trade/exchange/Hardcore/qmJLsg;https://www.pathofexile.com/trade/exchange/Hardcore/bGwRUL
Tul's Breachstone;Images/Orbs/BreachFragmentsCold.png;https://www.pathofexile.com/trade/exchange/Hardcore/EaYVT5;https://www.pathofexile.com/trade/exchange/Hardcore/G63Dsb
Xoph's Breachstone;Images/Orbs/BreachFragmentsFire.png;https://www.pathofexile.com/trade/exchange/Hardcore/9nPOuK;https://www.pathofexile.com/trade/exchange/Hardcore/GlEDhb
Esh's Breachstone;Images/Orbs/BreachFragmentsLightning.png;https://www.pathofexile.com/trade/exchange/Hardcore/V58oSp;https://www.pathofexile.com/trade/exchange/Hardcore/P82mFL
Uul-Netol's Breachstone;Images/Orbs/BreachFragmentsPhysical.png;https://www.pathofexile.com/trade/exchange/Hardcore/42Ggt9;https://www.pathofexile.com/trade/exchange/Hardcore/zobLi4
Simulacrum;Images/Orbs/DeliriumFragment.png;https://www.pathofexile.com/trade/exchange/Hardcore/VRRwbQPSp;https://www.pathofexile.com/trade/exchange/Hardcore/vyy8wZzcE
Fragment of the Chimera;Images/Orbs/FragmentChimera.png;https://www.pathofexile.com/trade/exchange/Hardcore/Y9jkuY;https://www.pathofexile.com/trade/exchange/Hardcore/gkO6uQ
Fragment of the Hydra;Images/Orbs/FragmentHydra.png;https://www.pathofexile.com/trade/exchange/Hardcore/7Ez7t5;https://www.pathofexile.com/trade/exchange/Hardcore/NkZjh5
Fragment of the Minotaur;Images/Orbs/FragmentMinotaur.png;https://www.pathofexile.com/trade/exchange/Hardcore/kpOjU5;https://www.pathofexile.com/trade/exchange/Hardcore/vXpLfE
Fragment of the Phoenix;Images/Orbs/FragmentPhoenix.png;https://www.pathofexile.com/trade/exchange/Hardcore/MPQPUJ;https://www.pathofexile.com/trade/exchange/Hardcore/zV30c4
Offering to the Goddess;Images/Orbs/Labyrinth.png;https://www.pathofexile.com/trade/exchange/Hardcore/rPLZCQ;https://www.pathofexile.com/trade/exchange/Hardcore/NvWjsE
