Name;Image;Buy;Sell
Clear Oil;Images/Orbs/Clear_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/wvBr48msb;https://www.pathofexile.com/trade/exchange/Hardcore/PPJvp9qiL
Sepia Oil;Images/Orbs/Sepia_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/op2appkcl;https://www.pathofexile.com/trade/exchange/Hardcore/X3MLJE4CP
Amber Oil;Images/Orbs/Amber_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/WvOaqebtm;https://www.pathofexile.com/trade/exchange/Hardcore/Z6D63jbfQ
Verdant Oil;Images/Orbs/Verdant_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/pJoKPKeu0;https://www.pathofexile.com/trade/exchange/Hardcore/Og6EeYrtE
Teal Oil;Images/Orbs/Teal_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/q9ZbGeXUg;https://www.pathofexile.com/trade/exchange/Hardcore/02pY3MOIg
Azure Oil;Images/Orbs/Azure_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/02pY9nwIg;https://www.pathofexile.com/trade/exchange/Hardcore/d8rV3BRhJ
Indigo Oil;Images/Orbs/IndigoOil.png;https://www.pathofexile.com/trade/exchange/Hardcore/Eobp7qLS5;https://www.pathofexile.com/trade/exchange/Hardcore/8lPZ0gbhV
Violet Oil;Images/Orbs/Violet_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/vedyl9JhE;https://www.pathofexile.com/trade/exchange/Hardcore/5nMEneJua
Crimson Oil;Images/Orbs/Crimson_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/lgVpn4wuV;https://www.pathofexile.com/trade/exchange/Hardcore/V5nRlvdIp
Black Oil;Images/Orbs/Black_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/X3MLnbeHP;https://www.pathofexile.com/trade/exchange/Hardcore/WvOaQ3DTm
Opalescent Oil;Images/Orbs/Opalescent_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/V5nRbgoSp;https://www.pathofexile.com/trade/exchange/Hardcore/D6YJVR5u5
Silver Oil;Images/Orbs/Silver_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/wvBrvXdIb;https://www.pathofexile.com/trade/exchange/Hardcore/vedyypBuE
Golden Oil;Images/Orbs/Golden_Oil.png;https://www.pathofexile.com/trade/exchange/Hardcore/4m0439kT9;https://www.pathofexile.com/trade/exchange/Hardcore/ky3WyD3h5
