Name;Image;Buy;Sell
Alchemy Orb;Images/Orbs/Alchemy.png;https://www.pathofexile.com/trade/exchange/Ritual/rPe7CQ;https://www.pathofexile.com/trade/exchange/Ritual/yYYOiR
Ancient Orb;Images/Orbs/Ancient.png;https://www.pathofexile.com/trade/exchange/Ritual/Bg2WU8;https://www.pathofexile.com/trade/exchange/Ritual/Bgbjh8
Armourer's Scrap;Images/Orbs/Scrap.png;https://www.pathofexile.com/trade/exchange/Ritual/z942f4;https://www.pathofexile.com/trade/exchange/Ritual/v0eDfE
Awakened Sextant;Images/Orbs/Awakened_Sextant.png;https://www.pathofexile.com/trade/exchange/Ritual/eRbbiL;https://www.pathofexile.com/trade/exchange/Ritual/eRqWiL
Awakener's Orb;Images/Orbs/WokeOrb.png;https://www.pathofexile.com/trade/exchange/Ritual/kk4Z84wC5;https://www.pathofexile.com/trade/exchange/Ritual/oV49mKYcl
Blacksmith's Whetstone;Images/Orbs/Whetstone.png;https://www.pathofexile.com/trade/exchange/Ritual/VLywup;https://www.pathofexile.com/trade/exchange/Ritual/KBWPi5
Blessed Orb;Images/Orbs/Blessed.png;https://www.pathofexile.com/trade/exchange/Ritual/5n8nta;https://www.pathofexile.com/trade/exchange/Ritual/Q2Q7Cw
Cartographer's Chisel;Images/Orbs/Chisel.png;https://www.pathofexile.com/trade/exchange/Ritual/4my8I9;https://www.pathofexile.com/trade/exchange/Ritual/zbVRF4
Chromatic Orb;Images/Orbs/Chromatic.png;https://www.pathofexile.com/trade/exchange/Ritual/AePWsL;https://www.pathofexile.com/trade/exchange/Ritual/AMKqTJ
Crusader's Exalted;Images/Orbs/Crusader's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Ritual/DVbagY5H5;https://www.pathofexile.com/trade/exchange/Ritual/Pr8LXMDiL
Divine Orb;Images/Orbs/Divine.png;https://www.pathofexile.com/trade/exchange/Ritual/NpeJc0;https://www.pathofexile.com/trade/exchange/Ritual/9z28fK
Engineer's Orb;Images/Orbs/Engineers.png;https://www.pathofexile.com/trade/exchange/Ritual/xdQRUJ;https://www.pathofexile.com/trade/exchange/Ritual/BglwU8
Exalted Orb;Images/Orbs/Exalted.png;https://www.pathofexile.com/trade/exchange/Ritual/glRewPiQ;https://www.pathofexile.com/trade/exchange/Ritual/V59BW2Ip
Gemcutter's Prism;Images/Orbs/GCP.png;https://www.pathofexile.com/trade/exchange/Ritual/18jvcV;https://www.pathofexile.com/trade/exchange/Ritual/ADa4f5
Glassblower's Bauble;Images/Orbs/Bauble.png;https://www.pathofexile.com/trade/exchange/Ritual/3q5Jc5;https://www.pathofexile.com/trade/exchange/Ritual/v089CE
Harbinger's Orb;Images/Orbs/Harbinger.png;https://www.pathofexile.com/trade/exchange/Ritual/7nLlt5;https://www.pathofexile.com/trade/exchange/Ritual/AL87fn
Hunter's Exalted;Images/Orbs/Hunter's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Ritual/9dXlgBQuK;https://www.pathofexile.com/trade/exchange/Ritual/j94oKzoIX
Jeweller's Orb;Images/Orbs/Jewellers.png;https://www.pathofexile.com/trade/exchange/Ritual/LgdYhn;https://www.pathofexile.com/trade/exchange/Ritual/1EpVu5
Mirror of Kalandra;Images/Orbs/Mirror_of_Kalandra.png;https://www.pathofexile.com/trade/exchange/Ritual/RJWGI7;https://www.pathofexile.com/trade/exchange/Ritual/yYMeCR
Orb of Alteration;Images/Orbs/Alteration.png;https://www.pathofexile.com/trade/exchange/Ritual/AjnbtX;https://www.pathofexile.com/trade/exchange/Ritual/Ny7gfR
Orb of Annulment;Images/Orbs/Annulment.png;https://www.pathofexile.com/trade/exchange/Ritual/aL73He;https://www.pathofexile.com/trade/exchange/Ritual/wv9Bsb
Orb of Augmentation;Images/Orbs/Augmentation.png;https://www.pathofexile.com/trade/exchange/Ritual/dZk3cJ;https://www.pathofexile.com/trade/exchange/Ritual/5M2osa
Orb of Binding;Images/Orbs/Binding.png;https://www.pathofexile.com/trade/exchange/Ritual/wrjRsb;https://www.pathofexile.com/trade/exchange/Ritual/ve9JsE
Orb of Chance;Images/Orbs/Chance.png;https://www.pathofexile.com/trade/exchange/Ritual/0YR8Ig;https://www.pathofexile.com/trade/exchange/Ritual/X3JBsP
Orb of Fusing;Images/Orbs/Fusing.png;https://www.pathofexile.com/trade/exchange/Ritual/jW58VLUX;https://www.pathofexile.com/trade/exchange/Ritual/V5VkVdSp
Orb of Horizon's;Images/Orbs/Horizons.png;https://www.pathofexile.com/trade/exchange/Ritual/24J0sk;https://www.pathofexile.com/trade/exchange/Ritual/RJ0BU7
Orb of Regret;Images/Orbs/Regret.png;https://www.pathofexile.com/trade/exchange/Ritual/9z6ztK;https://www.pathofexile.com/trade/exchange/Ritual/zbJai4
Orb of Scouring;Images/Orbs/Scouring.png;https://www.pathofexile.com/trade/exchange/Ritual/EBEzt5;https://www.pathofexile.com/trade/exchange/Ritual/rbdMHQ
Orb of Transmutation;Images/Orbs/Transmute.png;https://www.pathofexile.com/trade/exchange/Ritual/zbqvI4;https://www.pathofexile.com/trade/exchange/Ritual/PrBMcL
Perandus Coin;Images/Orbs/Perandus.png;https://www.pathofexile.com/trade/exchange/Ritual/243DIk;https://www.pathofexile.com/trade/exchange/Ritual/YpLRsY
Portal Scroll;Images/Orbs/Portal.png;https://www.pathofexile.com/trade/exchange/Ritual/powWf0;https://www.pathofexile.com/trade/exchange/Ritual/bE5GcL
Prime Sextant;Images/Orbs/Prime_Sextant.png;https://www.pathofexile.com/trade/exchange/Ritual/pKqJu0;https://www.pathofexile.com/trade/exchange/Ritual/jWwXiX
Redeemer's Exalted;Images/Orbs/Redeemer's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Ritual/Y9gJlY7fY;https://www.pathofexile.com/trade/exchange/Ritual/EobYvvyF5
Regal Orb;Images/Orbs/Regal.png;https://www.pathofexile.com/trade/exchange/Ritual/YpagsY;https://www.pathofexile.com/trade/exchange/Ritual/EBBVC5
Scroll of Wisdom;Images/Orbs/Wisdom.png;https://www.pathofexile.com/trade/exchange/Ritual/JBVail;https://www.pathofexile.com/trade/exchange/Ritual/3qpGU5
Silver Coin;Images/Orbs/Silver.png;https://www.pathofexile.com/trade/exchange/Ritual/XL5BFP;https://www.pathofexile.com/trade/exchange/Ritual/6zEkUG
Simple Sextant;Images/Orbs/simple_Sextant.png;https://www.pathofexile.com/trade/exchange/Ritual/OLWQCE;https://www.pathofexile.com/trade/exchange/Ritual/24rVUk
Vaal Orb;Images/Orbs/Vaal.png;https://www.pathofexile.com/trade/exchange/Ritual/EB9LC5;https://www.pathofexile.com/trade/exchange/Ritual/18GVuV
Warlord's Exalted;Images/Orbs/Warlord's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Ritual/2n56EmYik;https://www.pathofexile.com/trade/exchange/Ritual/545j7JDua
