Name;Image;Buy;Sell
Aberrant Fossil;Images/Orbs/Aberrant_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/XMWqJBHP;https://www.pathofexile.com/trade/exchange/Heist/m3lPXZT6
Aetheric Fossil;Images/Orbs/Aetheric_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/WOR0q0tm;https://www.pathofexile.com/trade/exchange/Heist/LJr3WXSn
Bloodstained Fossil;Images/Orbs/Bloodstained_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/pPPoXwt0;https://www.pathofexile.com/trade/exchange/Heist/2L6zboIk
Bound Fossil;Images/Orbs/Bound_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/ZDVPVRCQ;https://www.pathofexile.com/trade/exchange/Heist/5M6omKHa
Corroded Fossil;Images/Orbs/Corroded_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/n3aQmyC0;https://www.pathofexile.com/trade/exchange/Heist/GnYMJZFb
Dense Fossil;Images/Orbs/Dense_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/2LV840Uk;https://www.pathofexile.com/trade/exchange/Heist/grdMRgcQ
Enchanted Fossil;Images/Orbs/Enchanted_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/L5a52lIn;https://www.pathofexile.com/trade/exchange/Heist/2LVa60ck
Encrusted Fossil;Images/Orbs/Encrusted_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/9JPyP4SK;https://www.pathofexile.com/trade/exchange/Heist/O68ljKHE
Faceted Fossil;Images/Orbs/Faceted_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/vdr5rBCE;https://www.pathofexile.com/trade/exchange/Heist/E9l5PVT5
Fractured Fossil;Images/Orbs/Fractured_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/rRRlY4SQ;https://www.pathofexile.com/trade/exchange/Heist/3v4eVPF5
Frigid Fossil;Images/Orbs/Frigid_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/E9lKl0F5;https://www.pathofexile.com/trade/exchange/Heist/E9l7W4u5
Gilded Fossil;Images/Orbs/Gilded_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/2LVy6eik;https://www.pathofexile.com/trade/exchange/Heist/k3or6ns5
Glyphic Fossil;Images/Orbs/Glyphic_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/EronryT5;https://www.pathofexile.com/trade/exchange/Heist/vdm9GBuE
Hollow Fossil;Images/Orbs/Hollow_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/k9WmJ3H5;https://www.pathofexile.com/trade/exchange/Heist/wB2RGrIb
Jagged Fossil;Images/Orbs/Jagged_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/3vJmKKI5;https://www.pathofexile.com/trade/exchange/Heist/LJrLL7Cn
Lucent Fossil;Images/Orbs/Lucent_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/DdJ58dT5;https://www.pathofexile.com/trade/exchange/Heist/o2Y82qil
Metallic Fossil;Images/Orbs/Metallic_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/2LVra0Uk;https://www.pathofexile.com/trade/exchange/Heist/0pW8vbUg
Perfect Fossil;Images/Orbs/Perfect_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/O68EQOCE;https://www.pathofexile.com/trade/exchange/Heist/5M6ejesa
Prismatic Fossil;Images/Orbs/Prismatic_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/rl3OOrSQ;https://www.pathofexile.com/trade/exchange/Heist/6MPBVdTG
Pristine Fossil;Images/Orbs/Pristine_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/wB2wP9ib;https://www.pathofexile.com/trade/exchange/Heist/3vJrdgF5
Sanctified Fossil;Images/Orbs/Sanctified_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/ZDQoZEuQ;https://www.pathofexile.com/trade/exchange/Heist/BlnrowS8
Scorched Fossil;Images/Orbs/Scorched_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/RWLyOaF7;https://www.pathofexile.com/trade/exchange/Heist/6M4p92TG
Serrated Fossil;Images/Orbs/Serrated_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/LJpLD2Sn;https://www.pathofexile.com/trade/exchange/Heist/VnDmjrSp
Shuddering Fossil;Images/Orbs/Shuddering_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/d22rBPcJ;https://www.pathofexile.com/trade/exchange/Heist/lVml30hV
Tangled Fossil;Images/Orbs/Tangled_Fossil.png;https://www.pathofexile.com/trade/exchange/Heist/oRKYOZcl;https://www.pathofexile.com/trade/exchange/Heist/JgmnDbil
