Name;Image;Buy;Sell
Fragment of Purification;Images/Orbs/AtlasMapGuardianChaos.png;https://www.pathofexile.com/trade/exchange/Heist/9zqXd0QtK;https://www.pathofexile.com/trade/exchange/Heist/pJlWGXJS0
Fragment of Enslavement;Images/Orbs/AtlasMapGuardianFire.png;https://www.pathofexile.com/trade/exchange/Heist/mkP4ZKZh6;https://www.pathofexile.com/trade/exchange/Heist/aLbe3P7te
Fragment of Constriction;Images/Orbs/AtlasMapGuardianHoly.png;https://www.pathofexile.com/trade/exchange/Heist/kyPDldKH5;https://www.pathofexile.com/trade/exchange/Heist/lgP7bvQhV
Fragment of Eradication;Images/Orbs/AtlasMapGuardianLightning.png;https://www.pathofexile.com/trade/exchange/Heist/4mqy3nMT9;https://www.pathofexile.com/trade/exchange/Heist/PPKQwYkIL
Sacrifice of Dusk;Images/Orbs/Atziri1.png;https://www.pathofexile.com/trade/exchange/Heist/eXq9UL;https://www.pathofexile.com/trade/exchange/Heist/Y9vrcY
Sacrifice of Midnight;Images/Orbs/Atziri2.png;https://www.pathofexile.com/trade/exchange/Heist/LBqlTn;https://www.pathofexile.com/trade/exchange/Heist/eReohL
Sacrifice of Dawn;Images/Orbs/Atziri3.png;https://www.pathofexile.com/trade/exchange/Heist/KRBnh5;https://www.pathofexile.com/trade/exchange/Heist/68vjsG
Sacrifice of Noon;Images/Orbs/Atziri4.png;https://www.pathofexile.com/trade/exchange/Heist/gg7dcQ;https://www.pathofexile.com/trade/exchange/Heist/YpzOcY
Chayula's Breachstone;Images/Orbs/BreachFragmentsChaos.png;https://www.pathofexile.com/trade/exchange/Heist/qmJLsg;https://www.pathofexile.com/trade/exchange/Heist/bGwRUL
Tul's Breachstone;Images/Orbs/BreachFragmentsCold.png;https://www.pathofexile.com/trade/exchange/Heist/EaYVT5;https://www.pathofexile.com/trade/exchange/Heist/G63Dsb
Xoph's Breachstone;Images/Orbs/BreachFragmentsFire.png;https://www.pathofexile.com/trade/exchange/Heist/9nPOuK;https://www.pathofexile.com/trade/exchange/Heist/GlEDhb
Esh's Breachstone;Images/Orbs/BreachFragmentsLightning.png;https://www.pathofexile.com/trade/exchange/Heist/V58oSp;https://www.pathofexile.com/trade/exchange/Heist/P82mFL
Uul-Netol's Breachstone;Images/Orbs/BreachFragmentsPhysical.png;https://www.pathofexile.com/trade/exchange/Heist/42Ggt9;https://www.pathofexile.com/trade/exchange/Heist/zobLi4
Simulacrum;Images/Orbs/DeliriumFragment.png;https://www.pathofexile.com/trade/exchange/Heist/VRRwbQPSp;https://www.pathofexile.com/trade/exchange/Heist/vyy8wZzcE
Fragment of the Chimera;Images/Orbs/FragmentChimera.png;https://www.pathofexile.com/trade/exchange/Heist/Y9jkuY;https://www.pathofexile.com/trade/exchange/Heist/gkO6uQ
Fragment of the Hydra;Images/Orbs/FragmentHydra.png;https://www.pathofexile.com/trade/exchange/Heist/7Ez7t5;https://www.pathofexile.com/trade/exchange/Heist/NkZjh5
Fragment of the Minotaur;Images/Orbs/FragmentMinotaur.png;https://www.pathofexile.com/trade/exchange/Heist/kpOjU5;https://www.pathofexile.com/trade/exchange/Heist/vXpLfE
Fragment of the Phoenix;Images/Orbs/FragmentPhoenix.png;https://www.pathofexile.com/trade/exchange/Heist/MPQPUJ;https://www.pathofexile.com/trade/exchange/Heist/zV30c4
Offering to the Goddess;Images/Orbs/Labyrinth.png;https://www.pathofexile.com/trade/exchange/Heist/rPLZCQ;https://www.pathofexile.com/trade/exchange/Heist/NvWjsE
Eber's Key;Images/Orbs/PaleCourt01.png;https://www.pathofexile.com/trade/exchange/Heist/5g62Fa;https://www.pathofexile.com/trade/exchange/Heist/Ja49il
Yriel's Key;Images/Orbs/PaleCourt02.png;https://www.pathofexile.com/trade/exchange/Heist/7GmRf5;https://www.pathofexile.com/trade/exchange/Heist/k7E3H5
Inya's Key;Images/Orbs/PaleCourt03.png;https://www.pathofexile.com/trade/exchange/Heist/eyowiL;https://www.pathofexile.com/trade/exchange/Heist/WQ9vum
Volkuur's Key;Images/Orbs/PaleCourt04.png;https://www.pathofexile.com/trade/exchange/Heist/Q3W3hw;https://www.pathofexile.com/trade/exchange/Heist/3jVKi5
Divine Vessel;Images/Orbs/SinFlaskEmpty.png;https://www.pathofexile.com/trade/exchange/Heist/pJBXf0;https://www.pathofexile.com/trade/exchange/Heist/Bgbjh8
