Name;Image;Buy;Sell
Alchemy Orb;Images/Orbs/Alchemy.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/rPe7CQ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/yYYOiR
Ancient Orb;Images/Orbs/Ancient.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/Bg2WU8;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/Bgbjh8
Armourer's Scrap;Images/Orbs/Scrap.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/z942f4;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/v0eDfE
Awakened Sextant;Images/Orbs/Awakened_Sextant.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/eRbbiL;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/eRqWiL
Awakener's Orb;Images/Orbs/WokeOrb.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/kk4Z84wC5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/oV49mKYcl
Blacksmith's Whetstone;Images/Orbs/Whetstone.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/VLywup;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/KBWPi5
Blessed Orb;Images/Orbs/Blessed.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/5n8nta;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/Q2Q7Cw
Cartographer's Chisel;Images/Orbs/Chisel.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/4my8I9;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/zbVRF4
Chromatic Orb;Images/Orbs/Chromatic.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/AePWsL;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/AMKqTJ
Crusader's Exalted;Images/Orbs/Crusader's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/DVbagY5H5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/Pr8LXMDiL
Divine Orb;Images/Orbs/Divine.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/NpeJc0;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/9z28fK
Engineer's Orb;Images/Orbs/Engineers.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/xdQRUJ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/BglwU8
