Name;Image;Buy;Sell
Aberrant Fossil;Images/Orbs/Aberrant_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/XMWqJBHP;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/m3lPXZT6
Aetheric Fossil;Images/Orbs/Aetheric_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/WOR0q0tm;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/LJr3WXSn
Bloodstained Fossil;Images/Orbs/Bloodstained_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/pPPoXwt0;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/2L6zboIk
Bound Fossil;Images/Orbs/Bound_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/ZDVPVRCQ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/5M6omKHa
Corroded Fossil;Images/Orbs/Corroded_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/n3aQmyC0;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/GnYMJZFb
Dense Fossil;Images/Orbs/Dense_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/2LV840Uk;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/grdMRgcQ
Enchanted Fossil;Images/Orbs/Enchanted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/L5a52lIn;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/2LVa60ck
Encrusted Fossil;Images/Orbs/Encrusted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/9JPyP4SK;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/O68ljKHE
Faceted Fossil;Images/Orbs/Faceted_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/vdr5rBCE;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/E9l5PVT5
Fractured Fossil;Images/Orbs/Fractured_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/rRRlY4SQ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/3v4eVPF5
Frigid Fossil;Images/Orbs/Frigid_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/E9lKl0F5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/E9l7W4u5
Gilded Fossil;Images/Orbs/Gilded_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/2LVy6eik;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/k3or6ns5
Glyphic Fossil;Images/Orbs/Glyphic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/EronryT5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/vdm9GBuE
Hollow Fossil;Images/Orbs/Hollow_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/k9WmJ3H5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/wB2RGrIb
Jagged Fossil;Images/Orbs/Jagged_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/3vJmKKI5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/LJrLL7Cn
Lucent Fossil;Images/Orbs/Lucent_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/DdJ58dT5;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/o2Y82qil
Metallic Fossil;Images/Orbs/Metallic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/2LVra0Uk;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/0pW8vbUg
Perfect Fossil;Images/Orbs/Perfect_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/O68EQOCE;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/5M6ejesa
Prismatic Fossil;Images/Orbs/Prismatic_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/rl3OOrSQ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/6MPBVdTG
Pristine Fossil;Images/Orbs/Pristine_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/wB2wP9ib;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/3vJrdgF5
Sanctified Fossil;Images/Orbs/Sanctified_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/ZDQoZEuQ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/BlnrowS8
Scorched Fossil;Images/Orbs/Scorched_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/RWLyOaF7;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/6M4p92TG
Serrated Fossil;Images/Orbs/Serrated_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/LJpLD2Sn;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/VnDmjrSp
Shuddering Fossil;Images/Orbs/Shuddering_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/d22rBPcJ;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/lVml30hV
Tangled Fossil;Images/Orbs/Tangled_Fossil.png;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/oRKYOZcl;https://www.pathofexile.com/trade/exchange/Hardcore Ritual/JgmnDbil
