Name;Image;Buy;Sell
Fragment of Purification;Images/Orbs/AtlasMapGuardianChaos.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/9zqXd0QtK;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/pJlWGXJS0
Fragment of Enslavement;Images/Orbs/AtlasMapGuardianFire.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/mkP4ZKZh6;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/aLbe3P7te
Fragment of Constriction;Images/Orbs/AtlasMapGuardianHoly.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/kyPDldKH5;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/lgP7bvQhV
Fragment of Eradication;Images/Orbs/AtlasMapGuardianLightning.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/4mqy3nMT9;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/PPKQwYkIL
Sacrifice of Dusk;Images/Orbs/Atziri1.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/eXq9UL;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/Y9vrcY
Sacrifice of Midnight;Images/Orbs/Atziri2.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/LBqlTn;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/eReohL
Sacrifice of Dawn;Images/Orbs/Atziri3.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/KRBnh5;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/68vjsG
Sacrifice of Noon;Images/Orbs/Atziri4.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/gg7dcQ;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/YpzOcY
Chayula's Breachstone;Images/Orbs/BreachFragmentsChaos.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/qmJLsg;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/bGwRUL
Tul's Breachstone;Images/Orbs/BreachFragmentsCold.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/EaYVT5;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/G63Dsb
Xoph's Breachstone;Images/Orbs/BreachFragmentsFire.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/9nPOuK;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/GlEDhb
Esh's Breachstone;Images/Orbs/BreachFragmentsLightning.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/V58oSp;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/P82mFL
Uul-Netol's Breachstone;Images/Orbs/BreachFragmentsPhysical.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/42Ggt9;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/zobLi4
Simulacrum;Images/Orbs/DeliriumFragment.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/VRRwbQPSp;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/vyy8wZzcE
Fragment of the Chimera;Images/Orbs/FragmentChimera.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/Y9jkuY;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/gkO6uQ
Fragment of the Hydra;Images/Orbs/FragmentHydra.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/7Ez7t5;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/NkZjh5
Fragment of the Minotaur;Images/Orbs/FragmentMinotaur.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/kpOjU5;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/vXpLfE
Fragment of the Phoenix;Images/Orbs/FragmentPhoenix.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/MPQPUJ;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/zV30c4
Offering to the Goddess;Images/Orbs/Labyrinth.png;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/rPLZCQ;https://www.pathofexile.com/trade/exchange/Hardcore Ultimatum/NvWjsE
