Name;Image;Buy;Sell
Clear Oil;Images/Orbs/Clear_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/wvBr48msb;https://www.pathofexile.com/trade/exchange/Ultimatum/PPJvp9qiL
Sepia Oil;Images/Orbs/Sepia_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/op2appkcl;https://www.pathofexile.com/trade/exchange/Ultimatum/X3MLJE4CP
Amber Oil;Images/Orbs/Amber_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/WvOaqebtm;https://www.pathofexile.com/trade/exchange/Ultimatum/Z6D63jbfQ
Verdant Oil;Images/Orbs/Verdant_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/pJoKPKeu0;https://www.pathofexile.com/trade/exchange/Ultimatum/Og6EeYrtE
Teal Oil;Images/Orbs/Teal_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/q9ZbGeXUg;https://www.pathofexile.com/trade/exchange/Ultimatum/02pY3MOIg
Azure Oil;Images/Orbs/Azure_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/02pY9nwIg;https://www.pathofexile.com/trade/exchange/Ultimatum/d8rV3BRhJ
Indigo Oil;Images/Orbs/IndigoOil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/Eobp7qLS5;https://www.pathofexile.com/trade/exchange/Ultimatum/8lPZ0gbhV
Violet Oil;Images/Orbs/Violet_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/vedyl9JhE;https://www.pathofexile.com/trade/exchange/Ultimatum/5nMEneJua
Crimson Oil;Images/Orbs/Crimson_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/lgVpn4wuV;https://www.pathofexile.com/trade/exchange/Ultimatum/V5nRlvdIp
Black Oil;Images/Orbs/Black_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/X3MLnbeHP;https://www.pathofexile.com/trade/exchange/Ultimatum/WvOaQ3DTm
Opalescent Oil;Images/Orbs/Opalescent_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/V5nRbgoSp;https://www.pathofexile.com/trade/exchange/Ultimatum/D6YJVR5u5
Silver Oil;Images/Orbs/Silver_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/wvBrvXdIb;https://www.pathofexile.com/trade/exchange/Ultimatum/vedyypBuE
Golden Oil;Images/Orbs/Golden_Oil.png;https://www.pathofexile.com/trade/exchange/Ultimatum/4m0439kT9;https://www.pathofexile.com/trade/exchange/Ultimatum/ky3WyD3h5
