Name;Image;Buy;Sell
Alchemy Orb;Images/Orbs/Alchemy.png;https://www.pathofexile.com/trade/exchange/Standard/rPe7CQ;https://www.pathofexile.com/trade/exchange/Standard/yYYOiR
Ancient Orb;Images/Orbs/Ancient.png;https://www.pathofexile.com/trade/exchange/Standard/Bg2WU8;https://www.pathofexile.com/trade/exchange/Standard/Bgbjh8
Armourer's Scrap;Images/Orbs/Scrap.png;https://www.pathofexile.com/trade/exchange/Standard/z942f4;https://www.pathofexile.com/trade/exchange/Standard/v0eDfE
Awakened Sextant;Images/Orbs/Awakened_Sextant.png;https://www.pathofexile.com/trade/exchange/Standard/eRbbiL;https://www.pathofexile.com/trade/exchange/Standard/eRqWiL
Awakener's Orb;Images/Orbs/WokeOrb.png;https://www.pathofexile.com/trade/exchange/Standard/kk4Z84wC5;https://www.pathofexile.com/trade/exchange/Standard/oV49mKYcl
Blacksmith's Whetstone;Images/Orbs/Whetstone.png;https://www.pathofexile.com/trade/exchange/Standard/VLywup;https://www.pathofexile.com/trade/exchange/Standard/KBWPi5
Blessed Orb;Images/Orbs/Blessed.png;https://www.pathofexile.com/trade/exchange/Standard/5n8nta;https://www.pathofexile.com/trade/exchange/Standard/Q2Q7Cw
Cartographer's Chisel;Images/Orbs/Chisel.png;https://www.pathofexile.com/trade/exchange/Standard/4my8I9;https://www.pathofexile.com/trade/exchange/Standard/zbVRF4
Chromatic Orb;Images/Orbs/Chromatic.png;https://www.pathofexile.com/trade/exchange/Standard/AePWsL;https://www.pathofexile.com/trade/exchange/Standard/AMKqTJ
Crusader's Exalted;Images/Orbs/Crusader's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Standard/DVbagY5H5;https://www.pathofexile.com/trade/exchange/Standard/Pr8LXMDiL
Divine Orb;Images/Orbs/Divine.png;https://www.pathofexile.com/trade/exchange/Standard/NpeJc0;https://www.pathofexile.com/trade/exchange/Standard/9z28fK
Engineer's Orb;Images/Orbs/Engineers.png;https://www.pathofexile.com/trade/exchange/Standard/xdQRUJ;https://www.pathofexile.com/trade/exchange/Standard/BglwU8
Exalted Orb;Images/Orbs/Exalted.png;https://www.pathofexile.com/trade/exchange/Standard/glRewPiQ;https://www.pathofexile.com/trade/exchange/Standard/V59BW2Ip
Gemcutter's Prism;Images/Orbs/GCP.png;https://www.pathofexile.com/trade/exchange/Standard/18jvcV;https://www.pathofexile.com/trade/exchange/Standard/ADa4f5
Glassblower's Bauble;Images/Orbs/Bauble.png;https://www.pathofexile.com/trade/exchange/Standard/3q5Jc5;https://www.pathofexile.com/trade/exchange/Standard/v089CE
Harbinger's Orb;Images/Orbs/Harbinger.png;https://www.pathofexile.com/trade/exchange/Standard/7nLlt5;https://www.pathofexile.com/trade/exchange/Standard/AL87fn
Hunter's Exalted;Images/Orbs/Hunter's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Standard/9dXlgBQuK;https://www.pathofexile.com/trade/exchange/Standard/j94oKzoIX
Jeweller's Orb;Images/Orbs/Jewellers.png;https://www.pathofexile.com/trade/exchange/Standard/LgdYhn;https://www.pathofexile.com/trade/exchange/Standard/1EpVu5
Mirror of Kalandra;Images/Orbs/Mirror_of_Kalandra.png;https://www.pathofexile.com/trade/exchange/Standard/RJWGI7;https://www.pathofexile.com/trade/exchange/Standard/yYMeCR
Orb of Alteration;Images/Orbs/Alteration.png;https://www.pathofexile.com/trade/exchange/Standard/AjnbtX;https://www.pathofexile.com/trade/exchange/Standard/Ny7gfR
Orb of Annulment;Images/Orbs/Annulment.png;https://www.pathofexile.com/trade/exchange/Standard/aL73He;https://www.pathofexile.com/trade/exchange/Standard/wv9Bsb
Orb of Augmentation;Images/Orbs/Augmentation.png;https://www.pathofexile.com/trade/exchange/Standard/dZk3cJ;https://www.pathofexile.com/trade/exchange/Standard/5M2osa
Orb of Binding;Images/Orbs/Binding.png;https://www.pathofexile.com/trade/exchange/Standard/wrjRsb;https://www.pathofexile.com/trade/exchange/Standard/ve9JsE
Orb of Chance;Images/Orbs/Chance.png;https://www.pathofexile.com/trade/exchange/Standard/0YR8Ig;https://www.pathofexile.com/trade/exchange/Standard/X3JBsP
Orb of Fusing;Images/Orbs/Fusing.png;https://www.pathofexile.com/trade/exchange/Standard/jW58VLUX;https://www.pathofexile.com/trade/exchange/Standard/V5VkVdSp
Orb of Horizon's;Images/Orbs/Horizons.png;https://www.pathofexile.com/trade/exchange/Standard/24J0sk;https://www.pathofexile.com/trade/exchange/Standard/RJ0BU7
Orb of Regret;Images/Orbs/Regret.png;https://www.pathofexile.com/trade/exchange/Standard/9z6ztK;https://www.pathofexile.com/trade/exchange/Standard/zbJai4
Orb of Scouring;Images/Orbs/Scouring.png;https://www.pathofexile.com/trade/exchange/Standard/EBEzt5;https://www.pathofexile.com/trade/exchange/Standard/rbdMHQ
Orb of Transmutation;Images/Orbs/Transmute.png;https://www.pathofexile.com/trade/exchange/Standard/zbqvI4;https://www.pathofexile.com/trade/exchange/Standard/PrBMcL
Perandus Coin;Images/Orbs/Perandus.png;https://www.pathofexile.com/trade/exchange/Standard/243DIk;https://www.pathofexile.com/trade/exchange/Standard/YpLRsY
Portal Scroll;Images/Orbs/Portal.png;https://www.pathofexile.com/trade/exchange/Standard/powWf0;https://www.pathofexile.com/trade/exchange/Standard/bE5GcL
Prime Sextant;Images/Orbs/Prime_Sextant.png;https://www.pathofexile.com/trade/exchange/Standard/pKqJu0;https://www.pathofexile.com/trade/exchange/Standard/jWwXiX
Redeemer's Exalted;Images/Orbs/Redeemer's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Standard/Y9gJlY7fY;https://www.pathofexile.com/trade/exchange/Standard/EobYvvyF5
Regal Orb;Images/Orbs/Regal.png;https://www.pathofexile.com/trade/exchange/Standard/YpagsY;https://www.pathofexile.com/trade/exchange/Standard/EBBVC5
Scroll of Wisdom;Images/Orbs/Wisdom.png;https://www.pathofexile.com/trade/exchange/Standard/JBVail;https://www.pathofexile.com/trade/exchange/Standard/3qpGU5
Silver Coin;Images/Orbs/Silver.png;https://www.pathofexile.com/trade/exchange/Standard/XL5BFP;https://www.pathofexile.com/trade/exchange/Standard/6zEkUG
Simple Sextant;Images/Orbs/simple_Sextant.png;https://www.pathofexile.com/trade/exchange/Standard/OLWQCE;https://www.pathofexile.com/trade/exchange/Standard/24rVUk
Vaal Orb;Images/Orbs/Vaal.png;https://www.pathofexile.com/trade/exchange/Standard/EB9LC5;https://www.pathofexile.com/trade/exchange/Standard/18GVuV
Warlord's Exalted;Images/Orbs/Warlord's_Exalted_Orb.png;https://www.pathofexile.com/trade/exchange/Standard/2n56EmYik;https://www.pathofexile.com/trade/exchange/Standard/545j7JDua
