Name;Image;Buy;Sell
Aberrant Fossil;Images/Orbs/Aberrant_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/XMWqJBHP;https://www.pathofexile.com/trade/exchange/Standard/m3lPXZT6
Aetheric Fossil;Images/Orbs/Aetheric_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/WOR0q0tm;https://www.pathofexile.com/trade/exchange/Standard/LJr3WXSn
Bloodstained Fossil;Images/Orbs/Bloodstained_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/pPPoXwt0;https://www.pathofexile.com/trade/exchange/Standard/2L6zboIk
Bound Fossil;Images/Orbs/Bound_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/ZDVPVRCQ;https://www.pathofexile.com/trade/exchange/Standard/5M6omKHa
Corroded Fossil;Images/Orbs/Corroded_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/n3aQmyC0;https://www.pathofexile.com/trade/exchange/Standard/GnYMJZFb
Dense Fossil;Images/Orbs/Dense_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/2LV840Uk;https://www.pathofexile.com/trade/exchange/Standard/grdMRgcQ
Enchanted Fossil;Images/Orbs/Enchanted_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/L5a52lIn;https://www.pathofexile.com/trade/exchange/Standard/2LVa60ck
Encrusted Fossil;Images/Orbs/Encrusted_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/9JPyP4SK;https://www.pathofexile.com/trade/exchange/Standard/O68ljKHE
Faceted Fossil;Images/Orbs/Faceted_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/vdr5rBCE;https://www.pathofexile.com/trade/exchange/Standard/E9l5PVT5
Fractured Fossil;Images/Orbs/Fractured_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/rRRlY4SQ;https://www.pathofexile.com/trade/exchange/Standard/3v4eVPF5
Frigid Fossil;Images/Orbs/Frigid_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/E9lKl0F5;https://www.pathofexile.com/trade/exchange/Standard/E9l7W4u5
Gilded Fossil;Images/Orbs/Gilded_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/2LVy6eik;https://www.pathofexile.com/trade/exchange/Standard/k3or6ns5
Glyphic Fossil;Images/Orbs/Glyphic_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/EronryT5;https://www.pathofexile.com/trade/exchange/Standard/vdm9GBuE
Hollow Fossil;Images/Orbs/Hollow_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/k9WmJ3H5;https://www.pathofexile.com/trade/exchange/Standard/wB2RGrIb
Jagged Fossil;Images/Orbs/Jagged_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/3vJmKKI5;https://www.pathofexile.com/trade/exchange/Standard/LJrLL7Cn
Lucent Fossil;Images/Orbs/Lucent_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/DdJ58dT5;https://www.pathofexile.com/trade/exchange/Standard/o2Y82qil
Metallic Fossil;Images/Orbs/Metallic_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/2LVra0Uk;https://www.pathofexile.com/trade/exchange/Standard/0pW8vbUg
Perfect Fossil;Images/Orbs/Perfect_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/O68EQOCE;https://www.pathofexile.com/trade/exchange/Standard/5M6ejesa
Prismatic Fossil;Images/Orbs/Prismatic_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/rl3OOrSQ;https://www.pathofexile.com/trade/exchange/Standard/6MPBVdTG
Pristine Fossil;Images/Orbs/Pristine_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/wB2wP9ib;https://www.pathofexile.com/trade/exchange/Standard/3vJrdgF5
Sanctified Fossil;Images/Orbs/Sanctified_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/ZDQoZEuQ;https://www.pathofexile.com/trade/exchange/Standard/BlnrowS8
Scorched Fossil;Images/Orbs/Scorched_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/RWLyOaF7;https://www.pathofexile.com/trade/exchange/Standard/6M4p92TG
Serrated Fossil;Images/Orbs/Serrated_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/LJpLD2Sn;https://www.pathofexile.com/trade/exchange/Standard/VnDmjrSp
Shuddering Fossil;Images/Orbs/Shuddering_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/d22rBPcJ;https://www.pathofexile.com/trade/exchange/Standard/lVml30hV
Tangled Fossil;Images/Orbs/Tangled_Fossil.png;https://www.pathofexile.com/trade/exchange/Standard/oRKYOZcl;https://www.pathofexile.com/trade/exchange/Standard/JgmnDbil
