Name;Image;Buy;Sell
Clear Oil;Images/Orbs/Clear_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/wvBr48msb;https://www.pathofexile.com/trade/exchange/Standard/PPJvp9qiL
Sepia Oil;Images/Orbs/Sepia_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/op2appkcl;https://www.pathofexile.com/trade/exchange/Standard/X3MLJE4CP
Amber Oil;Images/Orbs/Amber_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/WvOaqebtm;https://www.pathofexile.com/trade/exchange/Standard/Z6D63jbfQ
Verdant Oil;Images/Orbs/Verdant_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/pJoKPKeu0;https://www.pathofexile.com/trade/exchange/Standard/Og6EeYrtE
Teal Oil;Images/Orbs/Teal_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/q9ZbGeXUg;https://www.pathofexile.com/trade/exchange/Standard/02pY3MOIg
Azure Oil;Images/Orbs/Azure_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/02pY9nwIg;https://www.pathofexile.com/trade/exchange/Standard/d8rV3BRhJ
Indigo Oil;Images/Orbs/IndigoOil.png;https://www.pathofexile.com/trade/exchange/Standard/Eobp7qLS5;https://www.pathofexile.com/trade/exchange/Standard/8lPZ0gbhV
Violet Oil;Images/Orbs/Violet_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/vedyl9JhE;https://www.pathofexile.com/trade/exchange/Standard/5nMEneJua
Crimson Oil;Images/Orbs/Crimson_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/lgVpn4wuV;https://www.pathofexile.com/trade/exchange/Standard/V5nRlvdIp
Black Oil;Images/Orbs/Black_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/X3MLnbeHP;https://www.pathofexile.com/trade/exchange/Standard/WvOaQ3DTm
Opalescent Oil;Images/Orbs/Opalescent_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/V5nRbgoSp;https://www.pathofexile.com/trade/exchange/Standard/D6YJVR5u5
Silver Oil;Images/Orbs/Silver_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/wvBrvXdIb;https://www.pathofexile.com/trade/exchange/Standard/vedyypBuE
Golden Oil;Images/Orbs/Golden_Oil.png;https://www.pathofexile.com/trade/exchange/Standard/4m0439kT9;https://www.pathofexile.com/trade/exchange/Standard/ky3WyD3h5
